Program,Role,QuestionId,GradeGroup,RoleNameHindi,QuestionText
CLSS,Observer,55,Grades 6-8,अवलोकनकर्ता,निम्नलिखित में से कौन सा विकल्प शैक्षिक संवाद का उद्देश्य नहीं हैं?
CLSS,Observer,56,Grades 6-8,अवलोकनकर्ता,निम्नलिखित में से कौन-कौन से विकल्प शैक्षिक संवाद के डिजाइन सिद्धांत हैं? (लागू होने वाले सभी विकल्पों का चयन करें)
CLSS,Observer,57,Grades 6-8,अवलोकनकर्ता,संवाद में आज कुल कितने प्रतिभागी (शिक्षक) उपस्थित थे?
CLSS,Observer,58,Grades 6-8,अवलोकनकर्ता,आज के संवाद में सहजकर्ता मार्गदर्शिका के किन-किन पहलुओं पर चर्चा किया गया?
CLSS,Observer,59,Grades 6-8,अवलोकनकर्ता,"संवाद के दौरान कितने प्रतिशत प्रतिभागियों ने सक्रिय सहभागिता (प्रश्न पूछे, अपने विचार साझा किए) की?"
CLSS,Observer,61,Grades 6-8,अवलोकनकर्ता,आज के संवाद में सहजकर्ता से सम्बंधित निम्न में से जो विकल्प लागू हों उन्हें टिक करें।
CLSS,Observer,60,Grades 6-8,अवलोकनकर्ता,"संवाद के दौरान निम्न में से संवाद के किन-किन उद्देश्यों पर बातचीत हुई।
(कृपया लागू होने वाले सभी विकल्प चुनें)"
CLSS,Observer,62,Grades 6-8,अवलोकनकर्ता,निम्न में से किन डिज़ाइन सिद्धांतों को आपने संवाद के दौरान लागू होते हुए देखा। (कृपया लागू होने वाले सभी विकल्प चुनें)
CLSS,Observer,63,Grades 6-8,अवलोकनकर्ता,क्या सहजकर्ताओं ने संवाद का संचालन एजेंडा एवं मार्गदर्शिका में सुझावित तरीके से किया।
CLSS,Observer,64,Grades 6-8,अवलोकनकर्ता,संवाद के निरंतर अवलोकन से क्या संवाद हेतु आपकी भूमिका और जिम्मेदारियों पर समझ विकसित हो रही है।
CLSS,Observer,65,Grades 6-8,अवलोकनकर्ता,"आज के संवाद पर अपने अनुभव को रेट करें (1- बिलकुल अच्छा नहीं रहा, 5- बहुत अच्छा रहा)"
CLSS,Observer,66,Grades 6-8,अवलोकनकर्ता,संवाद से जुड़े सुझावनात्मक बिन्दु साझा करें।
CLSS,Facilitator,67,Grades 6-8,सहजकर्ता,निम्नलिखित में से कौन सा विकल्प शैक्षिक संवाद का उद्देश्य नहीं हैं?
CLSS,Facilitator,68,Grades 6-8,सहजकर्ता,निम्नलिखित में से कौन-कौन से विकल्प शैक्षिक संवाद के डिजाइन सिद्धांत हैं? (लागू होने वाले सभी विकल्पों का चयन करें)
CLSS,Facilitator,69,Grades 6-8,सहजकर्ता,निम्न में से किन डिज़ाइन सिद्धांतों को आप संवाद के दौरान लागू कर पाए? (कृपया लागू होने वाले सभी विकल्प चुनें)
CLSS,Facilitator,70,Grades 6-8,सहजकर्ता,क्या आपने इस माह के जिला स्तरीय उन्मुखीकरण में भाग लिया था ?
CLSS,Facilitator,71,Grades 6-8,सहजकर्ता,क्या आपको सहजकर्ता मार्गदर्शिका का प्रिन्ट आउट उपलब्ध कराया गया।
CLSS,Facilitator,72,Grades 6-8,सहजकर्ता,इस संवाद समूह के लिए अपेक्षित प्रतिभागियों (शिक्षकों) की संख्या दर्ज करें। (दोनों सहजकर्ता आपसी समन्वय कर सही संख्या भरें)
CLSS,Facilitator,73,Grades 6-8,सहजकर्ता,संवाद में आज कुल कितनी महिला प्रतिभागी (शिक्षक) उपस्थित थे?  (दोनों सहजकर्ता आपसी समन्वय कर सही संख्या भरें)
CLSS,Facilitator,74,Grades 6-8,सहजकर्ता,संवाद में आज कुल कितने पुरुष प्रतिभागी (शिक्षक) उपस्थित थे?  (दोनों सहजकर्ता आपसी समन्वय कर सही संख्या भरें)
CLSS,Facilitator,75,Grades 6-8,सहजकर्ता,संवाद के प्रभावी आयोजन के लिए आपने निम्न में से कौन-कौन से कदम उठाए? (कृपया लागू होने वाले सभी विकल्प चुनें)
CLSS,Facilitator,76,Grades 6-8,सहजकर्ता,क्या संवाद के दौरान अवलोकनकर्ता उपस्थित थे?
CLSS,Facilitator,77,Grades 6-8,सहजकर्ता,संवाद के आयोजन के दौरान आई चुनौतियों का चयन करें।
CLSS,Facilitator,78,Grades 6-8,सहजकर्ता,क्या सह-सहजकर्ता ने संवाद को ज्यादा समय तक संचालित किया?
CLSS,Facilitator,79,Grades 6-8,सहजकर्ता,क्या सह-सहजकर्ता ने संवाद की प्लानिंग मीटिंग को ज्यादा समय तक संचालित किया?
CLSS,Facilitator,80,Grades 6-8,सहजकर्ता,"आज के संवाद में सहजकर्ता मार्गदर्शिका के किन-किन पहलुओं पर चर्चा किया गया?
(पूरे संवाद के दौरान चर्चा के आधार पर विकल्पों का चयन करें)"
CLSS,Facilitator,81,Grades 6-8,सहजकर्ता,संवाद से जुड़े सुझावनात्मक बिन्दु साझा करें।
CLSS,Facilitator,98,Grades 6-8,सहजकर्ता,इस संवाद समूह के लिए अपेक्षित प्रतिभागियों (शिक्षकों) की संख्या दर्ज करें। (दोनों सहजकर्ता आपसी समन्वय कर सही संख्या भरें)
CLSS,Participant,82,Grades 6-8,प्रतिभागी,निम्नलिखित में से कौन सा विकल्प शैक्षिक संवाद का उद्देश्य नहीं हैं?
CLSS,Participant,83,Grades 6-8,प्रतिभागी,निम्नलिखित में से कौन-कौन से विकल्प शैक्षिक संवाद के डिजाइन सिद्धांत हैं? (लागू होने वाले सभी विकल्पों का चयन करें)
CLSS,Participant,84,Grades 6-8,प्रतिभागी,आज के संवाद का विषय क्या था?
CLSS,Participant,85,Grades 6-8,प्रतिभागी,संवाद के आयोजन से सम्बंधित लागू विकल्पों का चयन करें।
CLSS,Participant,86,Grades 6-8,प्रतिभागी,निम्न में से किन डिज़ाइन सिद्धांतों को आपने संवाद के दौरान लागू होते हुए देखा। (कृपया लागू होने वाले सभी विकल्प चुनें)
CLSS,Participant,87,Grades 6-8,प्रतिभागी,एक शिक्षक के रूप में आज का संवाद आपकी कैसे मदद करेगा? (कृपया लागू होने वाले सभी विकल्प चुनें)
CLSS,Participant,88,Grades 6-8,प्रतिभागी,पिछले 2 वर्षों से संवाद में प्रतिभागिता से क्या संवाद हेतु आपकी भूमिका और जिम्मेदारियों पर समझ विकसित हो रही है।
CLSS,Participant,89,Grades 6-8,प्रतिभागी,"क्या आप संतुष्ट हैं कि ""संवाद के डिज़ाइन-सिद्धांत चर्चा को अकादमिक बिंदुओं पर केंद्रित रखते है?"""
CLSS,Participant,90,Grades 6-8,प्रतिभागी,"क्या आप संतुष्ट हैं कि ""शैक्षिक संवाद की चर्चा आपकी कक्षा-संबंधी चुनौतियों का समाधान करने में सक्षम है?"""
CLSS,Participant,95,Grades 6-8,प्रतिभागी,एक शिक्षक कक्षा में बच्चों को सक्रिय रूप से जोड़ना चाहते हैं। इनमें से कौन-सा तरीका सबसे अधिक प्रभावी होगा?
CLSS,Participant,96,Grades 6-8,प्रतिभागी,एक बच्चा अक्सर सवालों के जवाब देने से बचता है और गलत होने पर चुप हो जाता है। शिक्षक उसके कक्षा से जुड़ाव को बढ़ाने के लिए क्या कर सकते हैं?
CLSS,Participant,97,Grades 6-8,प्रतिभागी,एक शिक्षक बच्चों को कक्षा से जुड़ा हुआ महसूस कराने के लिए प्रयास कर रहे हैं। नीचे दिए गए विकल्पों में से कौन-सा विकल्प सबसे बेहतर तरीके से इस बात को दर्शाता है कि अपनापन (Belongingness) केवल बच्चे को “अच्छा महसूस कराने” से आगे की चीज़ है?
CLSS,Participant,91,Grades 6-8,प्रतिभागी,"आप ""शैक्षिक संवाद एवं इसकी चर्चा पर"" कितना भरोसा करते हैं?"
CLSS,Participant,92,Grades 6-8,प्रतिभागी,"आज के शैक्षिक संवाद के विषय को अपनी वर्तमान कक्षा की ज़रूरतों के लिए कितना प्रासंगिक पाया? (1- बिल्कुल भी प्रासंगिक नहीं,  5 - पूर्णतः  प्रासंगिक)"
CLSS,Participant,93,Grades 6-8,प्रतिभागी,"आज के संवाद पर अपने अनुभव को रेट करें। (1- बिलकुल अच्छा नहीं रहा, 5- बहुत अच्छा रहा)"
CLSS,Participant,94,Grades 6-8,प्रतिभागी,संवाद से जुड़े सुझावनात्मक बिन्दु साझा करें।
DO,Observer,25,Grades 6-8,अवलोकनकर्ता,निम्न में से एक उपयुक्त विकल्प चुनें।
DO,Observer,46,Grades 6-8,अवलोकनकर्ता,जिला स्तरीय उन्मुखीकरण के प्रभावी आयोजन हेतु सुनश्चित किए गए बिंदुओं का चयन करें।
DO,Observer,47,Grades 6-8,अवलोकनकर्ता,उन्मुखीकरण के दौरान सुझावात्मक एजेंडा के अनुसार निम्न में से कौन-कौन सी गतिविधियाँ आयोजित की गईं? (कृपया लागू होने वाले सभी विकल्प चुनें)
DO,Observer,48,Grades 6-8,अवलोकनकर्ता,आज के संवाद में सहजकर्ता से सम्बंधित निम्न में से जो विकल्प लागू हों उन्हें टिक करें।
DO,Observer,49,Grades 6-8,अवलोकनकर्ता,जिला स्तरीय उन्मुखीकरण में उपस्थित BAC एवं BRC की कुल संख्या दर्ज करें।
DO,Observer,50,Grades 6-8,अवलोकनकर्ता,जिला स्तरीय उन्मुखीकरण में उपस्थित कुल सहजकर्ताओं (प्रत्येक जनशिक्षा केंद्रों से) की संख्या दर्ज करें।
DO,Observer,51,Grades 6-8,अवलोकनकर्ता,क्या जिला स्तरीय उन्मुखीकरण के पश्चात कोर-समिति की मीटिंग आयोजित की जाएगी?
DO,Observer,52,Grades 6-8,अवलोकनकर्ता,"आज के उन्मुखीकरण पर अपने अनुभव को रेट करें। (1- बिलकुल अच्छा नहीं रहा, 5- बहुत अच्छा रहा)"
DO,Observer,53,Grades 6-8,अवलोकनकर्ता,जिला स्तरीय उन्मुखीकरण आयोजन हेतु सुझाव।
DO,Facilitator,26,Grades 6-8,सहजकर्ता,निम्नलिखित में से कौन सा विकल्प शैक्षिक संवाद का उद्देश्य नहीं हैं?
DO,Facilitator,27,Grades 6-8,सहजकर्ता,निम्नलिखित में से कौन-कौन से विकल्प शैक्षिक संवाद के डिजाइन सिद्धांत हैं? (लागू होने वाले सभी विकल्पों का चयन करें)
DO,Facilitator,28,Grades 6-8,सहजकर्ता,आपके द्वारा जिला स्तरीय उन्मुखीकरण के पूर्व क्या-क्या तैयारियाँ सुनश्चित की गयी? (कृपया लागू होने वाले सभी विकल्प चुनें)
DO,Facilitator,29,Grades 6-8,सहजकर्ता,उन्मुखीकरण की गुणवत्ता सुनश्चित करने के लिए आपने क्या-क्या कदम उठाए?
DO,Facilitator,30,Grades 6-8,सहजकर्ता,उन्मुखीकरण के दौरान सुझावात्मक एजेंडा के अनुसार निम्न में से कौन-कौन सी गतिविधियाँ आयोजित की गईं? (कृपया लागू होने वाले सभी विकल्प चुनें)
DO,Facilitator,31,Grades 6-8,सहजकर्ता,क्या जिला स्तरीय उन्मुखीकरण के पश्चात कोर-समिति की मीटिंग आयोजित की जाएगी?
DO,Facilitator,32,Grades 6-8,सहजकर्ता,क्या सहजकर्ता मार्गदर्शिका का प्रिन्ट-आउट (या सॉफ्ट कॉपी)  संवाद के दौरान प्रतिभागियों को दी जानी है?
DO,Facilitator,33,Grades 6-8,सहजकर्ता,जिला उन्मुखीकरण को बेहतर बनाने के लिए आपका कोई सुझाव?
DO,Participant,34,Grades 6-8,प्रतिभागी,क्या आपको सहजकर्ता मार्गदर्शिका का प्रिन्ट आउट उपलब्ध कराया गया।
DO,Participant,35,Grades 6-8,प्रतिभागी,निम्नलिखित में से कौन सा विकल्प शैक्षिक संवाद का उद्देश्य नहीं हैं?
DO,Participant,36,Grades 6-8,प्रतिभागी,निम्नलिखित में से कौन-कौन से विकल्प शैक्षिक संवाद के डिजाइन सिद्धांत हैं? (लागू होने वाले सभी विकल्पों का चयन करें)
DO,Participant,37,Grades 6-8,प्रतिभागी,जिला स्तरीय उन्मुखीकरण आयोजन से संबंधित लागू होने वाले सभी विकल्प चुनें।
DO,Participant,38,Grades 6-8,प्रतिभागी,जनशिक्षा केंद्र स्तरीय संवाद के सहजकर्ता के रूप में आपकी भूमिकाएँ क्या हो सकती है? (कृपया लागू होने वाले सभी विकल्प चुनें)
DO,Participant,39,Grades 6-8,प्रतिभागी,आज की चर्चा के बाद जनशिक्षा केंद्र स्तरीय संवाद संचालन हेतु निम्न में से किन बिंदुओं पर आपकी पूर्ण स्पष्टता है? (कृपया लागू होने वाले सभी विकल्प चुनें)
DO,Participant,40,Grades 6-8,प्रतिभागी,"उन्मुखीकरण के पश्चात आप संवाद आयोजन के लिए कितना आत्मविश्वासी और तैयार महसूस कर रहे है? (1- सबसे कम, 5- सबसे ज्यादा)"
DO,Participant,41,Grades 6-8,प्रतिभागी,"जिला स्तरीय उन्मुखीकरण के अपने अनुभव को रेट करें। (1- बिलकुल अच्छा नहीं रहा, 5- बहुत अच्छा रहा)"
DO,Participant,42,Grades 6-8,प्रतिभागी,"सहजकर्ता द्वारा उन्मुखीकरण में प्रस्तुतीकरण को रेट करें। (1- बिलकुल अच्छा नहीं रहा, 5- बहुत अच्छा रहा)"
DO,Participant,43,Grades 6-8,प्रतिभागी,एक शिक्षक कक्षा में बच्चों को सक्रिय रूप से जोड़ना चाहते हैं। इनमें से कौन-सा तरीका सबसे अधिक प्रभावी होगा?
DO,Participant,44,Grades 6-8,प्रतिभागी,एक बच्चा अक्सर सवालों के जवाब देने से बचता है और गलत होने पर चुप हो जाता है। शिक्षक उसके कक्षा से जुड़ाव को बढ़ाने के लिए क्या कर सकते हैं?
DO,Participant,45,Grades 6-8,प्रतिभागी,एक शिक्षक बच्चों को कक्षा से जुड़ा हुआ महसूस कराने के लिए प्रयास कर रहे हैं। नीचे दिए गए विकल्पों में से कौन-सा विकल्प सबसे बेहतर तरीके से इस बात को दर्शाता है कि अपनापन (Belongingness) केवल बच्चे को “अच्छा महसूस कराने” से आगे की चीज़ है?
DO,Participant,54,Grades 6-8,प्रतिभागी,जिला उन्मुखीकरण को बेहतर बनाने के लिए आपका कोई सुझाव?
