Program,Role,MetricCode,MetricNameEnglish,MetricNameHindi,Category
CLSS,Observer,55_Correct,Q55: Academic Dialogue Objective (Non-objective identification),शैक्षिक संवाद का गैर-उद्देश्य पहचान,MCQ Correct
CLSS,Observer,56.1,Q56: Focus on Academic Topics,चर्चा अकादमिक विषय पर केंद्रित होनी चाहिए,Design Principle
CLSS,Observer,56.2,Q56: Post-work Application & Sharing,संवाद की सीख को पोस्ट वर्क के माध्यम से कक्षा में लागू किया जाए,Design Principle
CLSS,Observer,56.3,Q56: Feedback at end of dialogue,संवाद के अंत में गुणवत्ता पर फीडबैक,Design Principle
CLSS,Observer,56.4,Q56: 30:70 Talk-Time Ratio,सहजकर्ता एवं प्रतिभागियों के बीच 30:70 का अनुपात,Design Principle
CLSS,Observer,56.5,Q56: Adherence to time schedule,चर्चा के दौरान पूर्वनिर्धारित समय का पालन,Design Principle
CLSS,Observer,56.6,Q56: Equal participation opportunity,सभी प्रतिभागियों को बातचीत के लिए समान अवसर,Design Principle
CLSS,Observer,56.7,Q56: Classroom & School context focus,विद्यालय और कक्षा परिपेक्ष्य से जुड़े अनुभवों पर चर्चा,Design Principle
CLSS,Observer,56.8,Q56: Off-topic personal issues (Negative),संवाद में विषय से भटक कर व्यक्तिगत मुद्दों पर चर्चा (नकारात्मक),Design Principle
CLSS,Observer,Sum of responses,Q57: Total Observed Participants,संवाद में उपस्थित कुल प्रतिभागी,Attendance
CLSS,Observer,58.1,Q58: Discussed previous post-work,पिछले संवाद के पोस्ट-वर्क पर चर्चा,Guide Aspect
CLSS,Observer,58.2,Q58: Session consolidation & key points,सत्र से सम्बंधित महत्वपूर्ण जानकारी का दोहराव / समेकन,Guide Aspect
CLSS,Observer,58.3,Q58: Adhered to guide plan & time,मार्गदर्शिका में दी गई सत्र योजना व समयावधि अनुसार संचालन,Guide Aspect
CLSS,Observer,58.4,Q58: Assigned next post-work,आगामी संवाद हेतु पोस्ट वर्क दिया गया,Guide Aspect
CLSS,Observer,59.1,Q59: Active Participation >75%,75% से अधिक प्रतिभागियों की सक्रिय सहभागिता,Participation Rate
CLSS,Observer,59.2,Q59: Active Participation 50-75%,50% से 75% प्रतिभागियों की सक्रिय सहभागिता,Participation Rate
CLSS,Observer,59.3,Q59: Active Participation <50%,50% से कम प्रतिभागियों की सक्रिय सहभागिता,Participation Rate
CLSS,Observer,60.1,Q60: Decentralize teacher CPD,शिक्षक व्यावसायिक उन्नयन प्रक्रिया का विकेंद्रीकरण करना,Dialogue Objective
CLSS,Observer,60.2,Q60: Share classroom best practices,कक्षा आधारित अनुभवों और बेस्ट प्रैक्टिसेस साझा करना,Dialogue Objective
CLSS,Observer,60.3,Q60: Motivate continuous CPD,शिक्षकों को स्वयं के सतत् व्यावसायिक उन्नयन हेतु प्रेरित करना,Dialogue Objective
CLSS,Observer,60.4,Q60: Reinforce face-to-face training,जनशिक्षा केंद्र स्तर पर फेस-टू-फेस प्रशिक्षण की पुनरावृत्ति,Dialogue Objective
CLSS,Observer,60.5,Q60: Build Peer Learning Community,पीयर लर्निंग समुदाय का निर्माण करना,Dialogue Objective
CLSS,Observer,61.1,Q61: Open to diverse viewpoints,विचारों की विविधता के प्रति स्वीकार्यता,Facilitation Behavior
CLSS,Observer,61.2,Q61: Appreciated teacher efforts,प्रतिभागियों के प्रयासों की सराहना की,Facilitation Behavior
CLSS,Observer,61.3,Q61: Respectful language used,सम्मानजनक भाषा का उपयोग,Facilitation Behavior
CLSS,Observer,61.4,Q61: Redirected non-academic drift,गैर अकादमिक चर्चा को रोका,Facilitation Behavior
CLSS,Observer,61.5,Q61: None of the above,उपरोक्त में से कोई नहीं,Facilitation Behavior
CLSS,Observer,62.1,Q62: Time adherence observed,पूर्व निर्धारित समय का पालन देखा गया,Observed Principle
CLSS,Observer,62.2,Q62: RSK prescribed topic discussed,राज्य शिक्षा केंद्र द्वारा सुझावित विषय पर चर्चा,Observed Principle
CLSS,Observer,62.3,Q62: Classroom experiences linked,विद्यालय व कक्षा परिप्रेक्ष्य से जुड़े अनुभवों पर चर्चा,Observed Principle
CLSS,Observer,62.4,Q62: Feedback taken at end,संवाद के अंत में चर्चा की गुणवत्ता पर फीडबैक,Observed Principle
CLSS,Observer,62.5,Q62: Equal opportunity given,सभी प्रतिभागियों को बातचीत के समान अवसर,Observed Principle
CLSS,Observer,62.6,Q62: 30:70 Talk ratio observed,सहजकर्ता-प्रतिभागी 30:70 अनुपात लागू हुआ,Observed Principle
CLSS,Observer,62.7,Q62: Post work discussed / assigned,सत्र सीख पर पोस्ट वर्क देना / चर्चा करना,Observed Principle
CLSS,Observer,63.1,Q63: Facilitator followed agenda (Yes),सहजकर्ताओं ने एजेंडा अनुसार संचालन किया (हाँ),Compliance
CLSS,Observer,63.2,Q63: Facilitator followed agenda (No),सहजकर्ताओं ने एजेंडा अनुसार संचालन किया (नहीं),Compliance
CLSS,Observer,64.1,Q64: Observer role clarity developed,संवाद अवलोकन से भूमिका व जिम्मेदारी पर समझ विकसित हुई,Impact
CLSS,Facilitator,67_Correct,Q67: Academic Dialogue Objective Correctness,शैक्षिक संवाद उद्देश्य समझ (सही उत्तर),MCQ Correct
CLSS,Facilitator,68.1,Q68: Academic topic focus,चर्चा अकादमिक विषय पर केंद्रित होनी चाहिए,Design Principle
CLSS,Facilitator,68.2,Q68: Post-work sharing in next samwad,पोस्ट वर्क पर प्रस्तुतीकरण,Design Principle
CLSS,Facilitator,68.3,Q68: Feedback collection,गुणवत्ता पर फीडबैक,Design Principle
CLSS,Facilitator,68.4,Q68: 30:70 ratio,30:70 संवाद अनुपात,Design Principle
CLSS,Facilitator,68.5,Q68: Time discipline,पूर्वनिर्धारित समय का पालन,Design Principle
CLSS,Facilitator,68.6,Q68: Equal opportunities,समान अवसर,Design Principle
CLSS,Facilitator,68.7,Q68: Classroom context,कक्षा परिप्रेक्ष्य अनुभव,Design Principle
CLSS,Facilitator,68.8,Q68: Off-topic drift,व्यक्तिगत मुद्दों पर चर्चा,Design Principle
CLSS,Facilitator,69.1,Q69: Implemented - Time discipline,लागू किया: समय का पालन,Implemented Principle
CLSS,Facilitator,69.2,Q69: Implemented - RSK academic topic,लागू किया: अकादमिक विषय पर चर्चा,Implemented Principle
